date,amount_mxn,selected_source,selection_basis,merge_status,notebook_amount_mxn,notebook_review_status,notebook_recognition_confidence,notebook_source_page,managementpro_amount_mxn,managementpro_journal_sales_mxn,managementpro_amount_basis,managementpro_validation_status,managementpro_source_method,managementpro_source_snapshot,notes
2019-06-17,135.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,135.00,135.00,completed_journal_sales_cut_reconciled,adjudicated_journal_only_cut_match,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190617.jrn,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-18,105.70,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,105.70,102.00,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by 3.70 MXN.
2019-07-19,5.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,5.00,5.00,completed_journal_sales_cut_reconciled,adjudicated_journal_only_cut_match,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190719.jrn,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-20,24.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,24.00,,gross_valid_pos_sales_excluding_cancellations,verified_mdb_only,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-21,24.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,24.00,24.00,completed_journal_sales_cut_reconciled,adjudicated_journal_only_cut_match,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190721.jrn,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-22,163.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,163.50,163.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-23,53.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,53.50,53.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-24,33.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,33.50,33.50,gross_valid_pos_sales_excluding_cancellations,verified_mdb_journal_match,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-26,186.00,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,186.00,98.50,gross_valid_pos_sales_excluding_cancellations,review_mdb_journal_difference,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by 87.50 MXN.
2019-07-27,87.50,managementpro,managementpro_nonoverlap_gap_fill,ready_managementpro_gap_fill,,,,,87.50,87.50,completed_journal_sales_cut_reconciled,adjudicated_journal_only_cut_match,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190727.jrn,No notebook record exists for this date; ManagementPro is used as a gap fill. ManagementPro note: ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
