date,amount_mxn,amount_basis,mdb_gross_sales_mxn,returns_mxn,mdb_net_sales_mxn,journal_sales_mxn,notebook_sales_mxn,mdb_minus_journal_mxn,source_method,source_snapshot,validation_status,notes
2019-06-17,135.00,completed_journal_sales_cut_reconciled,,,,135.00,,,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190617.jrn,adjudicated_journal_only_cut_match,ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-18,105.70,gross_valid_pos_sales_excluding_cancellations,105.70,0.00,105.70,102.00,,3.70,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by 3.70 MXN.
2019-07-19,5.00,completed_journal_sales_cut_reconciled,,,,5.00,,,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190719.jrn,adjudicated_journal_only_cut_match,ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-20,24.00,gross_valid_pos_sales_excluding_cancellations,24.00,0.00,24.00,,,,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_only,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-21,24.00,completed_journal_sales_cut_reconciled,,,,24.00,,,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190721.jrn,adjudicated_journal_only_cut_match,ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-22,163.50,gross_valid_pos_sales_excluding_cancellations,163.50,0.00,163.50,163.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-23,53.50,gross_valid_pos_sales_excluding_cancellations,53.50,0.00,53.50,53.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-24,33.50,gross_valid_pos_sales_excluding_cancellations,33.50,0.00,33.50,33.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-26,186.00,gross_valid_pos_sales_excluding_cancellations,186.00,0.00,186.00,98.50,,87.50,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by 87.50 MXN.
2019-07-27,87.50,completed_journal_sales_cut_reconciled,,,,87.50,,,journal_completed_sales,mpro-pos-20260820T172538Z-1-001.zip::mpro-pos/JOURNAL/00010120190727.jrn,adjudicated_journal_only_cut_match,ManagementPro-recorded sales only; not confirmed complete store revenue. No corresponding valid Venta rows in the canonical MDB; retained from the journal audit.
2019-07-28,79.00,gross_valid_pos_sales_excluding_cancellations,79.00,0.00,79.00,79.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-29,84.00,gross_valid_pos_sales_excluding_cancellations,84.00,0.00,84.00,84.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-30,37.50,gross_valid_pos_sales_excluding_cancellations,37.50,0.00,37.50,37.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-07-31,90.50,gross_valid_pos_sales_excluding_cancellations,90.50,0.00,90.50,90.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-02,19.50,gross_valid_pos_sales_excluding_cancellations,19.50,0.00,19.50,19.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-03,121.50,gross_valid_pos_sales_excluding_cancellations,121.50,0.00,121.50,121.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-04,22.00,gross_valid_pos_sales_excluding_cancellations,22.00,0.00,22.00,22.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-05,143.00,gross_valid_pos_sales_excluding_cancellations,143.00,0.00,143.00,143.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-06,30.00,gross_valid_pos_sales_excluding_cancellations,30.00,0.00,30.00,30.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-07,73.50,gross_valid_pos_sales_excluding_cancellations,73.50,0.00,73.50,73.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-09,307.95,gross_valid_pos_sales_excluding_cancellations,307.95,0.00,307.95,330.50,,-22.55,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -22.55 MXN.
2019-08-10,11.50,gross_valid_pos_sales_excluding_cancellations,11.50,0.00,11.50,11.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-11,65.50,gross_valid_pos_sales_excluding_cancellations,65.50,0.00,65.50,65.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-12,130.50,gross_valid_pos_sales_excluding_cancellations,130.50,0.00,130.50,130.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-13,187.50,gross_valid_pos_sales_excluding_cancellations,187.50,0.00,187.50,195.50,,-8.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -8.00 MXN.
2019-08-15,65.00,gross_valid_pos_sales_excluding_cancellations,65.00,0.00,65.00,65.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-16,62.00,gross_valid_pos_sales_excluding_cancellations,62.00,0.00,62.00,62.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-17,115.50,gross_valid_pos_sales_excluding_cancellations,115.50,0.00,115.50,115.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-18,167.00,gross_valid_pos_sales_excluding_cancellations,167.00,0.00,167.00,167.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-19,89.00,gross_valid_pos_sales_excluding_cancellations,89.00,0.00,89.00,89.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-20,115.50,gross_valid_pos_sales_excluding_cancellations,115.50,0.00,115.50,115.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-21,541.00,gross_valid_pos_sales_excluding_cancellations,541.00,0.00,541.00,541.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-22,71.00,gross_valid_pos_sales_excluding_cancellations,71.00,0.00,71.00,71.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-23,138.00,gross_valid_pos_sales_excluding_cancellations,138.00,0.00,138.00,138.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-24,525.61,gross_valid_pos_sales_excluding_cancellations,525.61,0.00,525.61,558.00,,-32.39,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -32.39 MXN.
2019-08-25,243.50,gross_valid_pos_sales_excluding_cancellations,243.50,0.00,243.50,243.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-26,639.00,gross_valid_pos_sales_excluding_cancellations,639.00,0.00,639.00,639.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-27,700.90,gross_valid_pos_sales_excluding_cancellations,700.90,0.00,700.90,710.50,,-9.60,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -9.60 MXN.
2019-08-28,402.00,gross_valid_pos_sales_excluding_cancellations,402.00,0.00,402.00,402.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-29,301.00,gross_valid_pos_sales_excluding_cancellations,301.00,0.00,301.00,301.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-30,109.50,gross_valid_pos_sales_excluding_cancellations,109.50,0.00,109.50,109.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-08-31,212.00,gross_valid_pos_sales_excluding_cancellations,212.00,0.00,212.00,213.50,,-1.50,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,review_mdb_journal_difference,ManagementPro-recorded sales only; not confirmed complete store revenue. Authoritative MDB differs from journal audit by -1.50 MXN.
2019-09-01,400.50,gross_valid_pos_sales_excluding_cancellations,400.50,0.00,400.50,400.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-02,199.00,gross_valid_pos_sales_excluding_cancellations,199.00,0.00,199.00,199.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-03,82.00,gross_valid_pos_sales_excluding_cancellations,82.00,0.00,82.00,82.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-04,165.00,gross_valid_pos_sales_excluding_cancellations,165.00,0.00,165.00,165.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-05,78.00,gross_valid_pos_sales_excluding_cancellations,78.00,0.00,78.00,78.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-06,95.00,gross_valid_pos_sales_excluding_cancellations,95.00,0.00,95.00,95.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-07,64.00,gross_valid_pos_sales_excluding_cancellations,64.00,0.00,64.00,64.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-08,86.00,gross_valid_pos_sales_excluding_cancellations,86.00,0.00,86.00,86.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-09,134.00,gross_valid_pos_sales_excluding_cancellations,134.00,0.00,134.00,134.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-10,161.50,gross_valid_pos_sales_excluding_cancellations,161.50,0.00,161.50,161.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-11,131.50,gross_valid_pos_sales_excluding_cancellations,131.50,0.00,131.50,131.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-12,102.50,gross_valid_pos_sales_excluding_cancellations,102.50,0.00,102.50,102.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-13,242.50,gross_valid_pos_sales_excluding_cancellations,242.50,0.00,242.50,242.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-14,53.00,gross_valid_pos_sales_excluding_cancellations,53.00,0.00,53.00,53.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-15,5.00,gross_valid_pos_sales_excluding_cancellations,5.00,0.00,5.00,5.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-16,36.50,gross_valid_pos_sales_excluding_cancellations,36.50,0.00,36.50,36.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-17,239.00,gross_valid_pos_sales_excluding_cancellations,239.00,0.00,239.00,239.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-18,360.00,gross_valid_pos_sales_excluding_cancellations,360.00,0.00,360.00,360.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-19,106.00,gross_valid_pos_sales_excluding_cancellations,106.00,0.00,106.00,106.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-20,136.00,gross_valid_pos_sales_excluding_cancellations,136.00,0.00,136.00,136.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-21,146.00,gross_valid_pos_sales_excluding_cancellations,146.00,0.00,146.00,146.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-22,163.00,gross_valid_pos_sales_excluding_cancellations,163.00,0.00,163.00,163.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-23,166.50,gross_valid_pos_sales_excluding_cancellations,166.50,0.00,166.50,166.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-24,388.00,gross_valid_pos_sales_excluding_cancellations,388.00,0.00,388.00,388.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-25,233.00,gross_valid_pos_sales_excluding_cancellations,233.00,0.00,233.00,233.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-26,133.00,gross_valid_pos_sales_excluding_cancellations,133.00,0.00,133.00,133.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-27,207.50,gross_valid_pos_sales_excluding_cancellations,207.50,0.00,207.50,207.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-28,45.00,gross_valid_pos_sales_excluding_cancellations,45.00,0.00,45.00,45.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-29,192.50,gross_valid_pos_sales_excluding_cancellations,192.50,0.00,192.50,192.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-09-30,239.50,gross_valid_pos_sales_excluding_cancellations,239.50,0.00,239.50,239.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-10-01,226.00,gross_valid_pos_sales_excluding_cancellations,226.00,0.00,226.00,226.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-10-02,329.00,gross_valid_pos_sales_excluding_cancellations,329.00,0.00,329.00,329.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-10-03,174.00,gross_valid_pos_sales_excluding_cancellations,174.00,0.00,174.00,174.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-10-05,161.50,gross_valid_pos_sales_excluding_cancellations,161.50,0.00,161.50,161.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-10-06,163.00,gross_valid_pos_sales_excluding_cancellations,163.00,0.00,163.00,163.00,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
2019-10-07,102.50,gross_valid_pos_sales_excluding_cancellations,102.50,0.00,102.50,102.50,,0.00,mdb_valid_pos_sales,megamanagepro-20260820T172552Z-1-001.zip::megamanagepro/DbPos.mdb,verified_mdb_journal_match,ManagementPro-recorded sales only; not confirmed complete store revenue.
